scientific_name,common_name
Argentina sialis,North-Pacific argentine
Aristostomias scintillans,Shiny loosejaw
Bathophilus flemingi,Highfin dragonfish
Bathylagoides wesethi,Snubnose blacksmelt
Bathylagus pacificus,Slender blacksmelt
Brosmophycis marginata,Red brotula
Ceratoscopelus townsendi,Dogtooth lampfish
Chauliodus macouni,Pacific viperfish
Chromis punctipinnis,Blacksmith
Cololabis saira,Pacific saury
Diogenichthys atlanticus,Longfin lanternfish
Electrona risso,Electric lantern fish
Engraulis mordax,Californian anchovy
Girella nigricans,Opaleye
Glyptocephalus zachirus,Rex sole
Hippoglossina stomata,Bigmouth flounder
Hypsypops rubicundus,Garibaldi damselfish
Icichthys lockingtoni,Medusafish
Idiacanthus antrostomus,Pacific blackdragon
Lampadena urophaos,Sunbeam lampfish
Leuroglossus stilbius,California smoothtongue
Lipolagus ochotensis,Eared blacksmelt
Lyopsetta exilis,Slender sole
Medialuna californiensis,Halfmoon
Merluccius productus,North Pacific hake
Microstomus pacificus,Dover sole
Nansenia candida,Bluethroat argentine
Notolychnus valdiviae,Topside lampfish
Notoscopelus resplendens,Patchwork lampfish
Oxylebius pictus,Painted greenling
Paralichthys californicus,California flounder
Parophrys vetulus,English sole
Peprilus simillimus,Pacific pompano
Pleuronichthys coenosus,C-O sole
Pleuronichthys decurrens,Curlfin sole
Pleuronichthys verticalis,Hornyhead turbot
Protomyctophum crockeri,California flashlightfish
Pseudobathylagus milleri,Stout blacksmelt
Sardinops sagax,South American pilchard
Scomber japonicus,Chub mackerel
Scorpaenichthys marmoratus,Cabezon
Sebastes aurora,Aurora rockfish
Sebastes diploproa,Splitnose rockfish
Sebastes goodei,Chilipepper rockfish
Sebastes jordani,Shortbelly rockfish
Sebastes levis,Cowcod
Sebastes paucispinis,Bocaccio rockfish
Sphyraena argentea,Pacific barracuda
Stenobrachius leucopsarus,Northern lampfish
Stomias atriventer,Black-belly dragonfish
Symbolophorus californiensis,Bigfin lanternfish
Symphurus atricaudus,California tonguefish
Tactostoma macropus,Longfin dragonfish
Tarletonbeania crenularis,Blue lanternfish
Tetragonurus cuvieri,Smalleye squaretail
Trachurus symmetricus,Pacific jack mackerel
Triphoturus mexicanus,Mexican lampfish