Year,Month,Transect,Station,Upper100mTemp
1997,3,Newport Hydrographic,NH01,10.32333337
1997,3,Newport Hydrographic,NH03,10.14716359
1997,3,Newport Hydrographic,NH05,10.04587247
1997,3,Newport Hydrographic,NH10,9.988532887
1997,3,Newport Hydrographic,NH15,9.899021363
1997,4,Newport Hydrographic,NH01,10.17088094
1997,4,Newport Hydrographic,NH03,9.52025613
1997,4,Newport Hydrographic,NH05,9.583974625
1997,4,Newport Hydrographic,NH10,9.536519442
1997,4,Newport Hydrographic,NH15,9.616716074
1997,5,Newport Hydrographic,NH01,12.46970059
1997,5,Newport Hydrographic,NH03,10.85069685
1997,5,Newport Hydrographic,NH05,10.16027635
1997,5,Newport Hydrographic,NH10,10.01998325
1997,5,Newport Hydrographic,NH15,10.33976174
1997,6,Newport Hydrographic,NH01,11.21936841
1997,6,Newport Hydrographic,NH03,9.378926419
1997,6,Newport Hydrographic,NH05,9.06919454
1997,6,Newport Hydrographic,NH10,9.176116778
1997,6,Newport Hydrographic,NH15,9.443252859
1997,7,Newport Hydrographic,NH01,9.51610525
1997,7,Newport Hydrographic,NH03,8.639558488
1997,7,Newport Hydrographic,NH05,8.763631266
1997,7,Newport Hydrographic,NH10,8.759415048
1997,7,Newport Hydrographic,NH15,9.234440875
1997,7,Newport Hydrographic,NH25,9.6940707
1997,8,Newport Hydrographic,NH01,12.34229056
1997,8,Newport Hydrographic,NH03,11.50235638
1997,8,Newport Hydrographic,NH05,10.24806319
1997,8,Newport Hydrographic,NH10,10.06528382
1997,8,Newport Hydrographic,NH15,8.753488776
1997,9,Newport Hydrographic,NH01,15.59570955
1997,9,Newport Hydrographic,NH03,15.34359255
1997,9,Newport Hydrographic,NH05,14.12049491
1997,9,Newport Hydrographic,NH10,12.25967802
1997,9,Newport Hydrographic,NH15,11.3844116
1997,9,Newport Hydrographic,NH20,11.36021431
1997,9,Newport Hydrographic,NH25,11.48167346
1997,10,Newport Hydrographic,NH01,14.72531674
1997,10,Newport Hydrographic,NH03,14.32227768
1997,10,Newport Hydrographic,NH05,13.46443505
1997,10,Newport Hydrographic,NH10,13.43035973
1997,10,Newport Hydrographic,NH15,12.80536781
1997,11,Newport Hydrographic,NH01,12.19486663
1997,11,Newport Hydrographic,NH03,12.03478568
1997,11,Newport Hydrographic,NH05,12.14701926
1997,11,Newport Hydrographic,NH10,11.96270423
1997,11,Newport Hydrographic,NH15,11.30761624
1997,11,Newport Hydrographic,NH20,10.78953528
1997,11,Newport Hydrographic,NH25,10.9783265
1997,12,Newport Hydrographic,NH05,12.75048244
1998,1,Newport Hydrographic,NH01,12.32099999
1998,1,Newport Hydrographic,NH03,12.4528182
1998,1,Newport Hydrographic,NH05,12.48544006
1998,1,Newport Hydrographic,NH10,12.3847948
1998,1,Newport Hydrographic,NH15,12.0837876
1998,1,Newport Hydrographic,NH20,11.74031314
1998,1,Newport Hydrographic,NH25,11.81740997
1998,2,Newport Hydrographic,NH05,12.42759516
1998,2,Newport Hydrographic,NH10,12.32181941
1998,2,Newport Hydrographic,NH15,12.27863737
1998,2,Newport Hydrographic,NH20,12.25224001
1998,2,Newport Hydrographic,NH25,12.18140998
1998,3,Newport Hydrographic,NH01,11.64772258
1998,3,Newport Hydrographic,NH03,11.46587786
1998,3,Newport Hydrographic,NH05,11.55355257
1998,3,Newport Hydrographic,NH10,11.45285454
1998,3,Newport Hydrographic,NH15,11.3997516
1998,4,Newport Hydrographic,NH01,11.67189887
1998,4,Newport Hydrographic,NH03,11.47405999
1998,4,Newport Hydrographic,NH05,10.73706411
1998,4,Newport Hydrographic,NH10,10.64072918
1998,4,Newport Hydrographic,NH15,10.71173663
1998,4,Newport Hydrographic,NH20,11.04840822
1998,4,Newport Hydrographic,NH25,11.12867677
1998,5,Newport Hydrographic,NH01,12.14727884
1998,5,Newport Hydrographic,NH03,11.63852001
1998,5,Newport Hydrographic,NH05,10.32715699
1998,5,Newport Hydrographic,NH10,9.731949294
1998,5,Newport Hydrographic,NH15,10.24006505
1998,6,Newport Hydrographic,NH01,10.40457769
1998,6,Newport Hydrographic,NH03,9.746015493
1998,6,Newport Hydrographic,NH05,9.51153514
1998,6,Newport Hydrographic,NH10,9.595399395
1998,6,Newport Hydrographic,NH15,9.954994504
1998,6,Newport Hydrographic,NH20,9.364141309
1998,6,Newport Hydrographic,NH25,9.562959623
1998,7,Newport Hydrographic,NH01,9.577407912
1998,7,Newport Hydrographic,NH03,8.844617644
1998,7,Newport Hydrographic,NH05,8.912453052
1998,7,Newport Hydrographic,NH10,9.319656421
1998,7,Newport Hydrographic,NH15,9.817048196
1998,8,Newport Hydrographic,NH01,8.828456316
1998,8,Newport Hydrographic,NH03,8.590520315
1998,8,Newport Hydrographic,NH05,8.598510097
1998,8,Newport Hydrographic,NH10,8.820553198
1998,8,Newport Hydrographic,NH15,9.105280408
1998,8,Newport Hydrographic,NH20,9.342530804
1998,8,Newport Hydrographic,NH25,9.830687157
1998,9,Newport Hydrographic,NH01,9.253633094
1998,9,Newport Hydrographic,NH03,9.537087189
1998,9,Newport Hydrographic,NH05,9.707883134
1998,9,Newport Hydrographic,NH10,9.624988641
1998,9,Newport Hydrographic,NH15,9.981124393
1998,9,Newport Hydrographic,NH20,10.45240781
1998,9,Newport Hydrographic,NH25,10.76588701
1998,10,Newport Hydrographic,NH01,12.06944205
1998,10,Newport Hydrographic,NH03,11.31374676
1998,10,Newport Hydrographic,NH05,10.24555087
1998,10,Newport Hydrographic,NH10,9.171851882
1998,10,Newport Hydrographic,NH15,9.499170839
1998,11,Newport Hydrographic,NH01,12.54131289
1998,11,Newport Hydrographic,NH03,12.09050832
1998,11,Newport Hydrographic,NH05,11.68564532
1998,11,Newport Hydrographic,NH10,11.49009592
1998,11,Newport Hydrographic,NH15,11.09992592
1998,11,Newport Hydrographic,NH20,10.67706061
1998,11,Newport Hydrographic,NH25,11.11148004
1999,2,Newport Hydrographic,NH03,9.217785654
1999,2,Newport Hydrographic,NH05,9.252470596
1999,2,Newport Hydrographic,NH10,9.251774694
1999,2,Newport Hydrographic,NH15,9.310658836
1999,2,Newport Hydrographic,NH20,9.310108931
1999,2,Newport Hydrographic,NH25,9.308585889
1999,3,Newport Hydrographic,NH01,9.134921024
1999,3,Newport Hydrographic,NH03,9.262025019
1999,3,Newport Hydrographic,NH05,9.279387474
1999,3,Newport Hydrographic,NH10,9.283094966
1999,3,Newport Hydrographic,NH15,9.208865538
1999,4,Newport Hydrographic,NH01,9.101144206
1999,4,Newport Hydrographic,NH03,8.702145205
1999,4,Newport Hydrographic,NH05,8.898651426
1999,4,Newport Hydrographic,NH10,8.936452906
1999,4,Newport Hydrographic,NH15,9.125992871
1999,4,Newport Hydrographic,NH20,9.175323265
1999,4,Newport Hydrographic,NH25,9.111279974
1999,5,Newport Hydrographic,NH01,10.46398501
1999,5,Newport Hydrographic,NH03,9.217404355
1999,5,Newport Hydrographic,NH05,8.344690914
1999,5,Newport Hydrographic,NH10,8.415056696
1999,5,Newport Hydrographic,NH15,9.089174212
1999,5,Newport Hydrographic,NH20,9.346533722
1999,6,Newport Hydrographic,NH01,10.43
1999,6,Newport Hydrographic,NH03,8.776695687
1999,6,Newport Hydrographic,NH05,8.448966278
1999,6,Newport Hydrographic,NH10,8.097798793
1999,6,Newport Hydrographic,NH15,8.621444107
1999,6,Newport Hydrographic,NH20,9.212293744
1999,7,Newport Hydrographic,NH01,8.154478234
1999,7,Newport Hydrographic,NH03,7.92692899
1999,7,Newport Hydrographic,NH05,7.917183995
1999,7,Newport Hydrographic,NH10,8.385009142
1999,7,Newport Hydrographic,NH15,8.814478842
1999,7,Newport Hydrographic,NH20,9.11979216
1999,7,Newport Hydrographic,NH25,9.312904069
1999,8,Newport Hydrographic,NH01,12.50273674
1999,8,Newport Hydrographic,NH03,10.13610438
1999,8,Newport Hydrographic,NH05,11.19281987
1999,8,Newport Hydrographic,NH10,9.642554512
1999,8,Newport Hydrographic,NH15,8.91229435
1999,9,Newport Hydrographic,NH01,8.776251411
1999,9,Newport Hydrographic,NH03,8.393167532
1999,9,Newport Hydrographic,NH05,8.430368931
1999,9,Newport Hydrographic,NH10,8.533110593
1999,9,Newport Hydrographic,NH15,8.886460728
1999,9,Newport Hydrographic,NH20,9.075123342
1999,9,Newport Hydrographic,NH25,9.117209978
1999,10,Newport Hydrographic,NH01,8.720831469
1999,10,Newport Hydrographic,NH03,8.622286962
1999,10,Newport Hydrographic,NH05,8.881889494
1999,10,Newport Hydrographic,NH10,8.993485116
1999,11,Newport Hydrographic,NH03,10.15826193
1999,11,Newport Hydrographic,NH05,9.990019285
1999,11,Newport Hydrographic,NH10,9.363411791
1999,11,Newport Hydrographic,NH15,9.437421661
1999,11,Newport Hydrographic,NH20,9.236673443
1999,11,Newport Hydrographic,NH25,9.271262631
1999,12,Newport Hydrographic,NH01,10.8379222
1999,12,Newport Hydrographic,NH03,10.99255002
1999,12,Newport Hydrographic,NH05,11.06073557
1999,12,Newport Hydrographic,NH10,11.13372711
1999,12,Newport Hydrographic,NH15,10.90369119
2000,1,Newport Hydrographic,NH01,9.394410585
2000,1,Newport Hydrographic,NH03,9.661293507
2000,1,Newport Hydrographic,NH05,9.787554326
2000,1,Newport Hydrographic,NH10,9.915272866
2000,2,Newport Hydrographic,NH01,9.99654007
2000,2,Newport Hydrographic,NH03,9.84795718
2000,2,Newport Hydrographic,NH05,9.978558603
2000,2,Newport Hydrographic,NH10,10.02198088
2000,2,Newport Hydrographic,NH15,10.17960952
2000,2,Newport Hydrographic,NH20,9.821439991
2000,2,Newport Hydrographic,NH25,9.673515185
2000,3,Newport Hydrographic,NH01,10.33014998
2000,3,Newport Hydrographic,NH03,10.06567114
2000,3,Newport Hydrographic,NH05,9.766783337
2000,3,Newport Hydrographic,NH10,9.991901274
2000,3,Newport Hydrographic,NH15,9.500904919
2000,4,Newport Hydrographic,NH01,11.06395282
2000,4,Newport Hydrographic,NH03,10.56044861
2000,4,Newport Hydrographic,NH05,9.294461509
2000,4,Newport Hydrographic,NH10,9.458281097
2000,4,Newport Hydrographic,NH15,9.484836856
2000,4,Newport Hydrographic,NH20,9.595363646
2000,4,Newport Hydrographic,NH25,9.714309978
2000,5,Newport Hydrographic,NH01,11.35877442
2000,5,Newport Hydrographic,NH03,10.135144
2000,5,Newport Hydrographic,NH05,9.931590056
2000,5,Newport Hydrographic,NH10,9.631623678
2000,5,Newport Hydrographic,NH15,9.863574824
2000,6,Newport Hydrographic,NH01,8.127234983
2000,6,Newport Hydrographic,NH03,8.350048132
2000,6,Newport Hydrographic,NH05,8.631165737
2000,6,Newport Hydrographic,NH10,8.479960264
2000,6,Newport Hydrographic,NH15,9.264586165
2000,6,Newport Hydrographic,NH20,9.953300028
2000,6,Newport Hydrographic,NH25,9.616192508
2000,7,Newport Hydrographic,NH01,9.065045822
2000,7,Newport Hydrographic,NH03,8.168970702
2000,7,Newport Hydrographic,NH05,7.927941888
2000,7,Newport Hydrographic,NH10,8.326837111
2000,7,Newport Hydrographic,NH15,8.43511025
2000,7,Newport Hydrographic,NH20,8.874818181
2000,7,Newport Hydrographic,NH25,9.238373737
2000,8,Newport Hydrographic,NH01,8.645906712
2000,8,Newport Hydrographic,NH03,8.140202267
2000,8,Newport Hydrographic,NH05,8.390248218
2000,8,Newport Hydrographic,NH10,8.114642746
2000,8,Newport Hydrographic,NH15,8.25933927
2000,8,Newport Hydrographic,NH20,8.74898999
2000,8,Newport Hydrographic,NH25,8.986090002
2000,9,Newport Hydrographic,NH01,9.600544985
2000,9,Newport Hydrographic,NH03,8.731456162
2000,9,Newport Hydrographic,NH05,9.23596154
2000,9,Newport Hydrographic,NH10,8.690181675
2000,9,Newport Hydrographic,NH15,8.496521243
2000,9,Newport Hydrographic,NH20,8.620663868
2000,9,Newport Hydrographic,NH25,9.468969721
2000,10,Newport Hydrographic,NH01,10.7375158
2000,10,Newport Hydrographic,NH03,10.05725893
2000,10,Newport Hydrographic,NH05,9.49216526
2000,10,Newport Hydrographic,NH10,8.908413965
2000,10,Newport Hydrographic,NH15,9.167510445
2000,11,Newport Hydrographic,NH01,11.5038191
2000,11,Newport Hydrographic,NH03,11.31307964
2000,11,Newport Hydrographic,NH05,11.16623502
2000,11,Newport Hydrographic,NH10,10.47923797
2000,11,Newport Hydrographic,NH15,9.90719667
2000,12,Newport Hydrographic,NH01,10.28684215
2000,12,Newport Hydrographic,NH03,10.39823828
2000,12,Newport Hydrographic,NH05,10.3957322
2000,12,Newport Hydrographic,NH10,10.21853926
2000,12,Newport Hydrographic,NH15,10.10013483
2001,1,Newport Hydrographic,NH01,9.948212223
2001,1,Newport Hydrographic,NH03,10.05687173
2001,1,Newport Hydrographic,NH05,10.21302327
2001,1,Newport Hydrographic,NH10,10.31945641
2001,1,Newport Hydrographic,NH15,10.3358783
2001,1,Newport Hydrographic,NH20,10.02358003
2001,1,Newport Hydrographic,NH25,10.06122992
2001,2,Newport Hydrographic,NH01,9.544496391
2001,2,Newport Hydrographic,NH03,9.543054803
2001,2,Newport Hydrographic,NH05,9.519870521
2001,2,Newport Hydrographic,NH10,9.518911834
2001,2,Newport Hydrographic,NH15,9.659374416
2001,3,Newport Hydrographic,NH01,9.826844454
2001,3,Newport Hydrographic,NH03,9.567251971
2001,3,Newport Hydrographic,NH05,9.445190837
2001,3,Newport Hydrographic,NH10,9.573049693
2001,3,Newport Hydrographic,NH15,9.637054335
2001,3,Newport Hydrographic,NH20,9.585446477
2001,3,Newport Hydrographic,NH25,9.592395463
2001,4,Newport Hydrographic,NH01,10.39083512
2001,4,Newport Hydrographic,NH03,9.652500814
2001,4,Newport Hydrographic,NH05,9.517998152
2001,4,Newport Hydrographic,NH10,9.2045904
2001,4,Newport Hydrographic,NH15,9.36305906
2001,4,Newport Hydrographic,NH20,9.467206964
2001,4,Newport Hydrographic,NH25,9.568880005
2001,5,Newport Hydrographic,NH01,9.304172468
2001,5,Newport Hydrographic,NH03,8.90479632
2001,5,Newport Hydrographic,NH05,8.584856093
2001,5,Newport Hydrographic,NH10,8.783800211
2001,5,Newport Hydrographic,NH15,9.219076639
2001,5,Newport Hydrographic,NH20,9.380625978
2001,5,Newport Hydrographic,NH25,9.570435972
2001,6,Newport Hydrographic,NH01,8.785032097
2001,6,Newport Hydrographic,NH03,7.995955495
2001,6,Newport Hydrographic,NH05,8.262789232
2001,6,Newport Hydrographic,NH10,8.562210458
2001,6,Newport Hydrographic,NH15,9.17690986
2001,6,Newport Hydrographic,NH20,9.4217575
2001,6,Newport Hydrographic,NH25,9.752970505
2001,7,Newport Hydrographic,NH01,8.248533281
2001,7,Newport Hydrographic,NH03,8.363525328
2001,7,Newport Hydrographic,NH05,8.083252877
2001,7,Newport Hydrographic,NH10,8.379733962
2001,7,Newport Hydrographic,NH15,8.815516031
2001,7,Newport Hydrographic,NH20,8.768035179
2001,7,Newport Hydrographic,NH25,8.851187357
2001,8,Newport Hydrographic,NH01,11.54016054
2001,8,Newport Hydrographic,NH03,10.01049669
2001,8,Newport Hydrographic,NH05,9.422199368
2001,8,Newport Hydrographic,NH10,8.899439031
2001,8,Newport Hydrographic,NH15,8.683471815
2001,8,Newport Hydrographic,NH20,8.821050002
2001,8,Newport Hydrographic,NH25,8.82310402
2001,9,Newport Hydrographic,NH01,10.02072332
2001,9,Newport Hydrographic,NH03,8.997079204
2001,9,Newport Hydrographic,NH05,8.602416964
2001,9,Newport Hydrographic,NH10,8.624738608
2001,9,Newport Hydrographic,NH15,9.104542336
2001,9,Newport Hydrographic,NH20,9.306871672
2001,9,Newport Hydrographic,NH25,9.436975668
2001,10,Newport Hydrographic,NH01,9.692903015
2001,10,Newport Hydrographic,NH03,9.481672322
2001,10,Newport Hydrographic,NH05,9.079473295
2001,10,Newport Hydrographic,NH10,8.585935625
2001,10,Newport Hydrographic,NH15,8.667408022
2001,11,Newport Hydrographic,NH01,10.96860749
2001,11,Newport Hydrographic,NH03,10.85470128
2001,11,Newport Hydrographic,NH05,10.55902017
2001,11,Newport Hydrographic,NH10,10.20452746
2001,11,Newport Hydrographic,NH15,10.14837214
2001,11,Newport Hydrographic,NH20,9.957726919
2001,11,Newport Hydrographic,NH25,9.989341158
2002,1,Newport Hydrographic,NH01,10.41049994
2002,1,Newport Hydrographic,NH03,10.55661341
2002,1,Newport Hydrographic,NH05,10.5812176
2002,1,Newport Hydrographic,NH10,10.59341466
2002,1,Newport Hydrographic,NH15,10.60686146
2002,1,Newport Hydrographic,NH20,10.57895255
2002,1,Newport Hydrographic,NH25,10.60444286
2002,2,Newport Hydrographic,NH01,9.537400055
2002,2,Newport Hydrographic,NH03,9.628902435
2002,2,Newport Hydrographic,NH05,9.713603685
2002,2,Newport Hydrographic,NH10,9.638799947
2002,2,Newport Hydrographic,NH15,9.597459738
2002,2,Newport Hydrographic,NH20,9.448550974
2002,2,Newport Hydrographic,NH25,9.629755088
2002,3,Newport Hydrographic,NH01,9.488285247
2002,3,Newport Hydrographic,NH03,9.442598862
2002,3,Newport Hydrographic,NH05,9.103869698
2002,3,Newport Hydrographic,NH10,9.019133085
2002,3,Newport Hydrographic,NH15,9.264895261
2002,3,Newport Hydrographic,NH20,9.333701022
2002,3,Newport Hydrographic,NH25,9.238542008
2002,4,Newport Hydrographic,NH01,9.101011947
2002,4,Newport Hydrographic,NH03,8.813412352
2002,4,Newport Hydrographic,NH05,8.514148514
2002,4,Newport Hydrographic,NH10,8.784605935
2002,4,Newport Hydrographic,NH15,9.0069492
2002,4,Newport Hydrographic,NH20,8.861818567
2002,4,Newport Hydrographic,NH25,9.014743674
2002,5,Newport Hydrographic,NH01,9.622875534
2002,5,Newport Hydrographic,NH03,8.803926396
2002,5,Newport Hydrographic,NH05,8.530177795
2002,5,Newport Hydrographic,NH10,8.569404843
2002,5,Newport Hydrographic,NH15,8.726881755
2002,5,Newport Hydrographic,NH20,8.680286012
2002,5,Newport Hydrographic,NH25,8.96926825
2002,6,Newport Hydrographic,NH01,9.707949973
2002,6,Newport Hydrographic,NH03,8.786483022
2002,6,Newport Hydrographic,NH05,8.349897724
2002,6,Newport Hydrographic,NH10,8.328904957
2002,6,Newport Hydrographic,NH15,8.572325252
2002,6,Newport Hydrographic,NH20,8.804410578
2002,6,Newport Hydrographic,NH25,9.054503662
2002,7,Newport Hydrographic,NH01,8.425377302
2002,7,Newport Hydrographic,NH03,8.000044052
2002,7,Newport Hydrographic,NH05,7.927368675
2002,7,Newport Hydrographic,NH10,7.860598892
2002,7,Newport Hydrographic,NH15,8.254626229
2002,7,Newport Hydrographic,NH20,8.19904849
2002,7,Newport Hydrographic,NH25,8.527835496
2002,8,Newport Hydrographic,NH01,8.094883308
2002,8,Newport Hydrographic,NH03,7.701888712
2002,8,Newport Hydrographic,NH05,7.727517764
2002,8,Newport Hydrographic,NH10,8.108314944
2002,8,Newport Hydrographic,NH15,8.091170028
2002,8,Newport Hydrographic,NH20,8.249661621
2002,8,Newport Hydrographic,NH25,8.260197289
2002,9,Newport Hydrographic,NH03,8.064951269
2002,9,Newport Hydrographic,NH05,8.230320787
2002,9,Newport Hydrographic,NH10,8.031662129
2002,9,Newport Hydrographic,NH15,8.220674415
2002,9,Newport Hydrographic,NH20,8.427232352
2002,9,Newport Hydrographic,NH25,8.891760015
2002,10,Newport Hydrographic,NH01,8.433165367
2002,10,Newport Hydrographic,NH03,8.334010478
2002,10,Newport Hydrographic,NH05,8.036738554
2002,10,Newport Hydrographic,NH10,8.073613943
2002,10,Newport Hydrographic,NH15,7.983497478
2002,10,Newport Hydrographic,NH20,8.263531013
2002,10,Newport Hydrographic,NH25,8.284161997
2002,11,Newport Hydrographic,NH01,8.139156507
2002,11,Newport Hydrographic,NH03,8.035538587
2002,11,Newport Hydrographic,NH05,8.060958484
2002,11,Newport Hydrographic,NH10,7.967447242
2002,11,Newport Hydrographic,NH15,8.230287943
2002,11,Newport Hydrographic,NH20,8.02485302
2002,11,Newport Hydrographic,NH25,8.192994022
2002,12,Newport Hydrographic,NH01,12.21183998
2002,12,Newport Hydrographic,NH03,11.42379544
2002,12,Newport Hydrographic,NH05,10.80672545
2002,12,Newport Hydrographic,NH10,10.80342667
2002,12,Newport Hydrographic,NH15,10.87130951
2002,12,Newport Hydrographic,NH20,10.58051995
2002,12,Newport Hydrographic,NH25,10.35034342
2003,1,Newport Hydrographic,NH01,11.18148752
2003,1,Newport Hydrographic,NH03,11.34844416
2003,1,Newport Hydrographic,NH05,11.47043726
2003,1,Newport Hydrographic,NH10,11.38241217
2003,1,Newport Hydrographic,NH15,11.23122693
2003,1,Newport Hydrographic,NH20,11.370888
2003,1,Newport Hydrographic,NH25,11.26500703
2003,2,Newport Hydrographic,NH01,10.99943583
2003,2,Newport Hydrographic,NH03,10.97916561
2003,2,Newport Hydrographic,NH05,10.71580333
2003,2,Newport Hydrographic,NH10,10.5183268
2003,2,Newport Hydrographic,NH15,10.51718397
2003,2,Newport Hydrographic,NH20,10.32522043
2003,2,Newport Hydrographic,NH25,10.43308408
2003,3,Newport Hydrographic,NH01,10.91458488
2003,3,Newport Hydrographic,NH03,10.82768629
2003,3,Newport Hydrographic,NH05,10.77839111
2003,3,Newport Hydrographic,NH10,10.67964802
2003,3,Newport Hydrographic,NH15,10.45066628
2003,4,Newport Hydrographic,NH01,11.4856143
2003,4,Newport Hydrographic,NH03,11.11710538
2003,4,Newport Hydrographic,NH05,10.86254186
2003,4,Newport Hydrographic,NH10,10.39860399
2003,4,Newport Hydrographic,NH15,10.37760489
2003,4,Newport Hydrographic,NH20,10.33057353
2003,4,Newport Hydrographic,NH25,10.2878407
2003,5,Newport Hydrographic,NH01,11.06610064
2003,5,Newport Hydrographic,NH03,10.23474177
2003,5,Newport Hydrographic,NH05,10.25075805
2003,5,Newport Hydrographic,NH10,9.831090625
2003,5,Newport Hydrographic,NH15,9.981624386
2003,5,Newport Hydrographic,NH20,10.14751649
2003,5,Newport Hydrographic,NH25,10.38633145
2003,6,Newport Hydrographic,NH01,8.79275269
2003,6,Newport Hydrographic,NH03,8.030986388
2003,6,Newport Hydrographic,NH05,7.894201423
2003,6,Newport Hydrographic,NH10,8.202919531
2003,6,Newport Hydrographic,NH15,8.889265614
2003,6,Newport Hydrographic,NH20,9.152894268
2003,6,Newport Hydrographic,NH25,9.630596004
2003,7,Newport Hydrographic,NH01,9.659937024
2003,7,Newport Hydrographic,NH03,9.164723722
2003,7,Newport Hydrographic,NH05,8.342850338
2003,7,Newport Hydrographic,NH10,8.423145171
2003,7,Newport Hydrographic,NH15,8.550045561
2003,7,Newport Hydrographic,NH20,9.225022593
2003,7,Newport Hydrographic,NH25,9.525861604
2003,8,Newport Hydrographic,NH01,8.079200003
2003,8,Newport Hydrographic,NH03,8.010524977
2003,8,Newport Hydrographic,NH05,8.432157277
2003,8,Newport Hydrographic,NH10,8.273449215
2003,8,Newport Hydrographic,NH15,7.904318915
2003,8,Newport Hydrographic,NH20,8.365396013
2003,8,Newport Hydrographic,NH25,8.06806098
2003,9,Newport Hydrographic,NH01,9.06237877
2003,9,Newport Hydrographic,NH03,8.478216608
2003,9,Newport Hydrographic,NH05,8.208832976
2003,9,Newport Hydrographic,NH10,8.270646328
2003,9,Newport Hydrographic,NH15,8.591678147
2003,9,Newport Hydrographic,NH20,8.739339768
2003,9,Newport Hydrographic,NH25,9.234293033
2003,10,Newport Hydrographic,NH01,13.42346177
2003,10,Newport Hydrographic,NH03,10.81196099
2003,10,Newport Hydrographic,NH05,10.80990108
2003,10,Newport Hydrographic,NH10,9.953662223
2003,10,Newport Hydrographic,NH15,9.991840749
2003,10,Newport Hydrographic,NH20,9.915531726
2003,10,Newport Hydrographic,NH25,10.97093261
2003,11,Newport Hydrographic,NH01,12.02092145
2003,11,Newport Hydrographic,NH03,11.58945888
2003,11,Newport Hydrographic,NH05,11.21037716
2003,11,Newport Hydrographic,NH10,10.45288007
2003,11,Newport Hydrographic,NH15,10.46089007
2003,11,Newport Hydrographic,NH20,9.739509992
2003,11,Newport Hydrographic,NH25,9.737882189
2004,1,Newport Hydrographic,NH01,10.34487895
2004,1,Newport Hydrographic,NH03,10.50207852
2004,1,Newport Hydrographic,NH05,10.57762412
2004,1,Newport Hydrographic,NH10,10.53110644
2004,1,Newport Hydrographic,NH15,10.70719582
2004,1,Newport Hydrographic,NH20,10.6430798
2004,1,Newport Hydrographic,NH25,10.88827041
2004,2,Newport Hydrographic,NH01,10.29500537
2004,2,Newport Hydrographic,NH03,10.37364449
2004,2,Newport Hydrographic,NH05,10.39315692
2004,2,Newport Hydrographic,NH10,10.47787062
2004,2,Newport Hydrographic,NH15,10.53060351
2004,2,Newport Hydrographic,NH20,10.58887452
2004,2,Newport Hydrographic,NH25,10.54873942
2004,3,Newport Hydrographic,NH01,10.54855995
